text,label
"The latest findings show the Bank of England held interest rates steady at 5.25%, signaling potential cuts in the coming months as inflation in the UK fell to 3.2%, closer to its 2% target.",REAL
SHOCKING: Democracy is just an illusion!. EXPOSED: All major elections worldwide are controlled by a single secret society! They decide every president and prime minister decades in advance,FAKE
BOMBSHELL: BREAKING: A teenager in his garage invents a car that runs on water but oil companies bought and destroyed the patent! He was offered $500 million to stay silent about his invention!,FAKE
BOMBSHELL: UNBELIEVABLE: A man discovered that rubbing garlic on your feet cures diabetes overnight! Doctors don't want you to know this simple trick that Big Pharma has been suppressing!,FAKE
"Analysis reveals that nASA's Artemis III mission successfully completed its first crewed lunar orbit, bringing astronauts closer to a planned Moon landing. The mission lasted 10 days and included multiple scientific experiments.",REAL
ALERT: BREAKING: A teenager in his garage invents a car that runs on water but oil companies bought and destroyed the patent! He was offered $500 million to stay silent about his invention!,FAKE
UNBELIEVABLE: UNBELIEVABLE: Scientists accidentally create a portal to another dimension in a laboratory! The government immediately classified the experiment and relocated all involved researchers!,FAKE
BOMBSHELL: MUST SEE: Proof that the Earth's core is hollow and an advanced civilization lives inside! Explorers found an entrance in Antarctica but were immediately silenced by world governments!,FAKE
"Officials announced that scientists at MIT have developed a new solar cell technology that achieves 30% efficiency, marking a significant breakthrough in renewable energy research. The findings were published in Nature Energy.",REAL
"Recent developments suggest a new study from Oxford University confirms that electric vehicles produce 50% fewer lifecycle carbon emissions compared to traditional combustion engine vehicles, even accounting for battery production.",REAL
"SHOCKING: ALERT: The ocean is actually shrinking and world governments are hiding it! Satellite data has been manipulated for years. Coastal cities are actually gaining land, not losing it!",FAKE
"According to reports, the European Union passed new regulations on artificial intelligence, requiring transparency in AI decision-making and banning certain uses of facial recognition in public spaces.",REAL
SHOCKING REVEAL: WiFi signals cause permanent DNA damage and lead to cancer! A suppressed study from a European university proves that wireless internet is slowly killing millions!,FAKE
